month,ipi_category,n_records,median_price,average_price,p25,p75,base_price,price_index,1mo_pct_change,12mo_pct_change
2025-06,AI Development & Automation,80,114.345,120.100625,94.5275,141.495,114.345,100.0,,
2025-07,AI Development & Automation,80,116.86,122.26775,94.215,134.555,114.345,102.19948401766584,2.1994840176658315,
2025-08,AI Development & Automation,80,105.025,110.61475,76.7525,137.2575,114.345,91.84922821286459,-10.127502995036785,
2025-09,AI Development & Automation,80,120.175,122.584375,89.11,143.0325,114.345,105.09860509860509,14.425136872173262,
2025-10,AI Development & Automation,80,114.095,120.593375,95.0875,139.53,114.345,99.78136341772705,-5.0592885375494,
2025-11,AI Development & Automation,80,115.06,118.647875,90.49249999999999,137.665,114.345,100.62530062530061,0.8457864060651188,
2025-12,AI Development & Automation,80,115.545,121.032125,93.6725,143.0875,114.345,101.04945559491014,0.4215192073700802,
2026-01,AI Development & Automation,80,114.655,114.75375,91.695,132.76,114.345,100.27110936201846,-0.7702626682244973,
2026-02,AI Development & Automation,80,103.91499999999999,111.1395,82.1725,135.745,114.345,90.8784817875727,-9.36723213117615,
2026-03,AI Development & Automation,80,98.66,106.43199999999999,83.19500000000001,128.1825,114.345,86.28274082819537,-5.057017754895831,
2026-04,AI Development & Automation,80,102.79499999999999,106.10162499999998,83.5625,123.535,114.345,89.8989898989899,4.1911615649706135,
2026-05,AI Development & Automation,80,99.515,104.83275,77.8375,119.6375,114.345,87.03047793956885,-3.1908166739627375,
2026-06,AI Development & Automation,80,95.06,96.694875,67.9675,118.13250000000001,114.345,83.13437404346496,-4.476712053459275,-16.865625956535048
2025-06,Animation & Motion Graphics,80,54.995000000000005,57.541,41.3825,68.185,54.995000000000005,100.0,,
2025-07,Animation & Motion Graphics,80,51.515,55.705875000000006,41.0925,64.3875,54.995000000000005,93.67215201381943,-6.3278479861805685,
2025-08,Animation & Motion Graphics,80,56.195,60.00337499999999,45.105000000000004,74.8325,54.995000000000005,102.18201654695879,9.084732602154698,
2025-09,Animation & Motion Graphics,80,54.25,57.815374999999996,41.9125,69.14750000000001,54.995000000000005,98.64533139376306,-3.461162025091191,
2025-10,Animation & Motion Graphics,80,49.705,55.139874999999996,39.2975,63.7525,54.995000000000005,90.38094372215654,-8.377880184331799,
2025-11,Animation & Motion Graphics,80,50.415,56.737874999999995,41.824999999999996,70.455,54.995000000000005,91.67197017910719,1.4284277235690812,
2025-12,Animation & Motion Graphics,80,54.89,59.527625,43.894999999999996,72.455,54.995000000000005,99.80907355214109,8.87632649013188,
2026-01,Animation & Motion Graphics,80,60.1,62.518875,45.905,73.82499999999999,54.995000000000005,109.28266206018729,9.491710694115518,
2026-02,Animation & Motion Graphics,80,56.81,62.801750000000006,43.2925,75.94500000000001,54.995000000000005,103.3003000272752,-5.474209650582374,
2026-03,Animation & Motion Graphics,80,56.82,60.111625000000004,45.1425,72.645,54.995000000000005,103.31848349849986,0.0176025347650155,
2026-04,Animation & Motion Graphics,80,50.935,55.743125,42.29,66.435,54.995000000000005,92.61751068278934,-10.357268567405843,
2026-05,Animation & Motion Graphics,80,57.54,61.557125,44.3275,73.315,54.995000000000005,104.62769342667515,12.967507607735351,
2026-06,Animation & Motion Graphics,80,56.269999999999996,60.191250000000004,46.515,69.5325,54.995000000000005,102.31839258114373,-2.2071602363573306,2.3183925811437245
2025-06,Audio Production & Voice Work,80,176.345,186.35674999999998,135.39249999999998,214.85999999999999,176.345,100.0,,
2025-07,Audio Production & Voice Work,80,180.005,189.764,128.8275,236.14000000000001,176.345,102.07547704783238,2.0754770478323747,
2025-08,Audio Production & Voice Work,80,172.93,187.856625,139.2475,212.79000000000002,176.345,98.06345515892144,-3.930446376489538,
2025-09,Audio Production & Voice Work,80,183.355,193.29075,141.795,232.81,176.345,103.9751623238538,6.028450818250142,
2025-10,Audio Production & Voice Work,80,179.265,185.2525,140.7875,216.73250000000002,176.345,101.6558450764127,-2.2306454691718214,
2025-11,Audio Production & Voice Work,80,172.10000000000002,183.63225,142.785,213.61,176.345,97.59278686665344,-3.9968761330990255,
2025-12,Audio Production & Voice Work,80,199.8,197.476875,166.825,230.715,176.345,113.30063228330829,16.095293434049964,
2026-01,Audio Production & Voice Work,80,190.135,201.97175,153.3025,245.705,176.345,107.81989849442853,-4.837337337337344,
2026-02,Audio Production & Voice Work,80,187.16500000000002,188.51775,149.275,222.945,176.345,106.13569990643343,-1.5620480185131402,
2026-03,Audio Production & Voice Work,80,178.76,184.01575,139.755,208.06,176.345,101.36947460943037,-4.490690032858735,
2026-04,Audio Production & Voice Work,80,173.60000000000002,183.86225,143.6375,217.71499999999997,176.345,98.44339221412574,-2.8865518012978097,
2026-05,Audio Production & Voice Work,80,187.57999999999998,196.7955,143.0875,232.5775,176.345,106.37103405256741,8.052995391705053,
2026-06,Audio Production & Voice Work,80,176.695,188.79325,143.10750000000002,237.6325,176.345,100.19847458107687,-5.802857447489074,0.19847458107686844
2025-06,Branding & Visual Identity,80,168.875,170.95237500000002,133.6925,200.6875,168.875,100.0,,
2025-07,Branding & Visual Identity,80,165.885,170.955375,136.62,191.19,168.875,98.22945965951146,-1.7705403404885356,
2025-08,Branding & Visual Identity,80,149.32,165.873875,127.94749999999999,198.8325,168.875,88.42042931162102,-9.985833559393543,
2025-09,Branding & Visual Identity,80,155.74,161.793125,121.84,192.1325,168.875,92.2220577350111,4.299491025984459,
2025-10,Branding & Visual Identity,80,155.88,159.246375,123.2025,189.9925,168.875,92.30495928941525,0.08989341209708623,
2025-11,Branding & Visual Identity,80,163.06,183.92325,136.6975,221.0325,168.875,96.55662472242783,4.606107261996395,
2025-12,Branding & Visual Identity,80,163.85500000000002,179.93375,123.7125,219.4725,168.875,97.02738712065138,0.4875505948730652,
2026-01,Branding & Visual Identity,80,165.67000000000002,181.893125,132.7375,218.1275,168.875,98.10214655810512,1.107686674193653,
2026-02,Branding & Visual Identity,80,161.70499999999998,185.264,130.47500000000002,231.035,168.875,95.7542561065877,-2.3933120057946677,
2026-03,Branding & Visual Identity,80,155.45999999999998,178.083125,129.57999999999998,216.935,168.875,92.0562546262028,-3.8619708728858115,
2026-04,Branding & Visual Identity,80,172.155,187.032125,134.89000000000001,222.3525,168.875,101.94226498889711,10.739096873793908,
2026-05,Branding & Visual Identity,80,185.72,201.5035,143.2475,229.815,168.875,109.97483345669875,7.879527170282596,
2026-06,Branding & Visual Identity,80,180.51,183.809375,131.3175,213.03,168.875,106.88971132494447,-2.805298298513914,6.88971132494447
2025-06,"Cloud, DevOps & Cybersecurity",80,77.735,79.62212500000001,62.7475,92.925,77.735,100.0,,
2025-07,"Cloud, DevOps & Cybersecurity",80,72.58000000000001,79.94,57.365,93.09,77.735,93.3684955296842,-6.631504470315807,
2025-08,"Cloud, DevOps & Cybersecurity",80,66.57,75.2285,53.587500000000006,91.84,77.735,85.63710040522287,-8.280518049049345,
2025-09,"Cloud, DevOps & Cybersecurity",80,72.295,78.420125,56.552499999999995,95.4425,77.735,93.00186531163568,8.599969956436837,
2025-10,"Cloud, DevOps & Cybersecurity",80,73.93,82.019375,60.477500000000006,100.4375,77.735,95.10516498359813,2.2615671899854917,
2025-11,"Cloud, DevOps & Cybersecurity",80,74.28999999999999,80.55275,56.565,99.285,77.735,95.56827683797516,0.48694711213308484,
2025-12,"Cloud, DevOps & Cybersecurity",80,78.96000000000001,81.917125,62.465,98.99000000000001,77.735,101.57586672669969,6.286175797550153,
2026-01,"Cloud, DevOps & Cybersecurity",80,73.5,78.262625,58.917500000000004,92.5025,77.735,94.5520036019811,-6.914893617021267,
2026-02,"Cloud, DevOps & Cybersecurity",80,78.94,80.793375,58.75,92.48750000000001,77.735,101.5501382903454,7.401360544217672,
2026-03,"Cloud, DevOps & Cybersecurity",80,77.355,82.172,64.7625,91.9275,77.735,99.51115970926867,-2.007854066379522,
2026-04,"Cloud, DevOps & Cybersecurity",80,77.545,82.6095,61.315000000000005,99.0475,77.735,99.75557985463433,0.24562083898906906,
2026-05,"Cloud, DevOps & Cybersecurity",80,77.47999999999999,80.541625,61.695,97.2325,77.735,99.67196243648291,-0.08382229673093988,
