file,size_kb,title,seller,price_basic,price_standard,price_premium,rating,review_count,category,extraction_method,success,notes
fastcopywriter_fb_2015a.html,149,write 3 Facebook NEWSFEED Ads in 3 Days - fiverr,fastcopywriter,5.0,5.0,,,,,HTML_price_spans,True,
fastcopywriter_fb_2015b.html,177,write a Facebook NEWSFEED Ads in 3 Days - fiverr,fastcopywriter,5.0,5.0,,,,,HTML_price_spans,True,
froggy92_arch_2019.html,237,froggy92 : I will create amazing architectural design projects for $60 on www.fiverr.com,rubensagar,60.0,120.0,180.0,4.9,31,,HTML_price_spans,True,
froggy92_arch_2020.html,424,froggy92 : I will create amazing architectural design projects for $50 on fiverr.com,froggy92,50.0,0.0,0.0,4.9,57,,JSON_packageList,True,
froggy92_arch_2024.html,1331,Froggy92: I will create amazing architectural design projects for $20 on fiverr.com,froggy92,20.0,0.0,25.0,5.0,118,,JSON_packageList,True,
froggy92_arch_2024b.html,1391,Froggy92: I will create amazing architectural design projects for $20 on fiverr.com,froggy92,20.0,0.0,25.0,5.0,123,,JSON_packageList,True,
froggy92_landscape_2022.html,614,Froggy92: I will make artistic architectural watercolor renderings for $20 on fiverr.com,froggy92,20.0,0.0,10.0,4.9,80,,JSON_packageList,True,
froggy92_landscape_2023.html,794,Froggy92: I will make artistic architectural watercolor renderings for $20 on fiverr.com,froggy92,20.0,0.0,10.0,4.9,96,,JSON_packageList,True,
joydeeproni_uiux_2020.html,350,joydeeproni : I will design ui ux of your app and website for $5 on fiverr.com,joydeeproni,5.0,0.0,0.0,5.0,17,,JSON_packageList,True,
joydeeproni_uiux_2021a.html,515,Design ui ux of your app and website by Joydeeproni | Fiverr,joydeeproni,15.0,0.0,0.0,5.0,38,,JSON_packageList,True,
joydeeproni_uiux_2021b.html,654,Joydeeproni: I will design UI UX of your website or any ios android app for $30 on fiverr.com,joydeeproni,30.0,0.0,0.0,5.0,52,,JSON_packageList,True,
joydeeproni_uiux_2022.html,735,Joydeeproni: I will design UI UX of your website or any ios android app for $30 on fiverr.com,joydeeproni,30.0,0.0,0.0,4.9,53,,JSON_packageList,True,
pro_coder2_db_2021a.html,482,"Do database design, create er diagram and java, python tasks by Pro_coder2 | Fiverr",pro_coder2,5.0,0.0,0.0,5.0,5,,JSON_packageList,True,
pro_coder2_db_2021b.html,546,"Pro_coder2: I will do database design, create er diagram and java, python tasks for $5 on fiverr.com",pro_coder2,5.0,0.0,0.0,5.0,22,,JSON_packageList,True,
webexpert107_ci_2018.html,293,webexpert107 : I will fix and develop any website in codeigniter or core php for $5 on www.fiverr.com,webexpert107,5.0,30.0,250.0,5.0,92,,HTML_price_spans,True,
webexpert107_ci_2019.html,295,webexpert107 : I will fix and develop any website in codeigniter or core php for $5 on www.fiverr.com,joeidrx,5.0,30.0,250.0,5.0,113,,HTML_price_spans,True,
webexpert107_ci_2020.html,368,webexpert107 : I will fix and develop any website in Codeigniter or core Php for $5 on fiverr.com,webexpert107,5.0,0.0,5.0,5.0,172,,JSON_packageList,True,
wordsmith025_email_2021.html,512,Wordsmith025: I will write email sequence or seinfeld email sequence drives sales for $5 on fiverr.com,wordsmith025,5.0,0.0,,5.0,2,,JSON_packageList,True,
wordsmith025_sales_2021.html,485,"Wordsmith025: I will write killer sales copy for your flyer, company profile or brochure for $15 on fiverr.com",wordsmith025,15.0,20.0,0.0,,,,JSON_packageList,True,
wordsmith09_dropship_2024.html,1311,"Wordsmith09: I will do dropshipping marketing, shopify store promotion, shopify store advertising for $10 on fiverr.com",wordsmith09,10.0,,,5.0,32,,JSON_packageList,True,
